model_card_file,total_score,max_score,percentage,structural,metadata,technical,fairness,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,q11_score,q12_score,q13_score,q14_score,q15_score,q16_score,q17_score,q18_score,q19_score,q20_score
data/model_cards_assistant/densenet121_tv_in1k_model_card.yaml,58,84,69.0,21,15,11,11,5,5,5,5,1,1,0,5,5,4,3,0,4,4,0,1,3,3,3,1
data/model_cards_assistant/subcell_saprot_650m_model_card.yaml,63,84,75.0,21,15,16,11,5,5,5,5,1,1,0,5,5,4,3,4,5,4,0,1,3,3,3,1
